,start,end
0,2014-1-2,2015-1-5
1,2014-2-7,2015-2-2
2,2014-3-3,2015-3-2
3,2014-4-1,2015-4-1
4,2014-5-5,2015-5-4
5,2014-6-3,2015-6-1
6,2014-7-1,2015-7-1
7,2014-8-1,2015-8-3
8,2014-9-1,2015-9-1
9,2014-10-8,2015-10-8
10,2014-11-3,2015-11-2
11,2014-12-1,2015-12-1
12,2015-1-5,2016-1-4
13,2015-2-2,2016-2-1
14,2015-3-2,2016-3-1
15,2015-4-1,2016-4-1
16,2015-5-4,2016-5-3
17,2015-6-1,2016-6-1
18,2015-7-1,2016-7-1
19,2015-8-3,2016-8-1
20,2015-9-1,2016-9-1
21,2015-10-8,2016-10-10
22,2015-11-2,2016-11-1
23,2015-12-1,2016-12-1
24,2016-1-4,2017-1-3
25,2016-2-1,2017-2-3
26,2016-3-1,2017-3-1
27,2016-4-1,2017-4-5
28,2016-5-3,2017-5-2
29,2016-6-1,2017-6-1
30,2016-7-1,2017-7-3
31,2016-8-1,2017-8-1
32,2016-9-1,2017-9-1
33,2016-10-10,2017-10-9
34,2016-11-1,2017-11-1
35,2016-12-1,2017-12-1
36,2017-1-3,2018-1-2
37,2017-2-3,2018-2-1
38,2017-3-1,2018-3-1
39,2017-4-5,2018-4-2
40,2017-5-2,2018-5-2
41,2017-6-1,2018-6-1
42,2017-7-3,2018-7-2
43,2017-8-1,2018-8-1
44,2017-9-1,2018-9-3
45,2017-10-9,2018-10-8
46,2017-11-1,2018-11-1
47,2017-12-1,2018-12-3
